id_race,dogTrack,date,title,distance,finished,canceled
78232,Romford,2022-02-24 13:57:00,Race 1,400,1,0
78233,Romford,2022-02-24 14:12:00,Race 2,400,1,0
78234,Romford,2022-02-24 14:32:00,Race 3,400,1,0
78235,Romford,2022-02-24 14:52:00,Race 4,575,1,0
78236,Romford,2022-02-24 15:11:00,Race 5,400,1,0
78237,Romford,2022-02-24 15:28:00,Race 6,400,1,0
78238,Romford,2022-02-24 15:48:00,Race 7,400,1,0
78239,Romford,2022-02-24 16:08:00,Race 8,575,1,0
78240,Romford,2022-02-24 16:28:00,Race 9,400,1,0
78241,Romford,2022-02-24 16:48:00,Race 10,400,1,0
78242,Romford,2022-02-24 17:08:00,Race 11,400,1,0
78243,Romford,2022-02-24 17:28:00,Race 12,400,1,0
78244,Romford,2022-02-24 17:44:00,Race 13,400,1,0
78245,Romford,2022-02-24 18:02:00,Race 14,400,1,0
78136,Sheffield,2022-02-24 11:13:00,Race 1,500,1,0
78137,Sheffield,2022-02-24 11:28:00,Race 2,500,1,0
78138,Sheffield,2022-02-24 11:43:00,Race 3,660,1,0
78139,Sheffield,2022-02-24 11:58:00,Race 4,500,1,0
78140,Sheffield,2022-02-24 12:13:00,Race 5,500,1,0
78141,Sheffield,2022-02-24 12:28:00,Race 6,500,1,0
78142,Sheffield,2022-02-24 12:43:00,Race 7,500,1,0
78143,Sheffield,2022-02-24 12:58:00,Race 8,280,1,0
78144,Sheffield,2022-02-24 13:13:00,Race 9,500,1,0
78145,Sheffield,2022-02-24 13:28:00,Race 10,500,1,0
78146,Sheffield,2022-02-24 13:44:00,Race 11,500,1,0
78147,Sheffield,2022-02-24 13:59:00,Race 12,500,1,0
78170,Sunderland,2022-02-24 18:19:00,Race 1,450,1,0
78171,Sunderland,2022-02-24 18:36:00,Race 2,450,1,0
78172,Sunderland,2022-02-24 18:51:00,Race 3,450,1,0
78173,Sunderland,2022-02-24 19:09:00,Race 4,450,1,0
78174,Sunderland,2022-02-24 19:26:00,Race 5,261,1,0
78175,Sunderland,2022-02-24 19:41:00,Race 6,450,1,0
78176,Sunderland,2022-02-24 19:58:00,Race 7,450,1,0
78177,Sunderland,2022-02-24 20:12:00,Race 8,450,1,0
78178,Sunderland,2022-02-24 20:27:00,Race 9,450,1,0
78179,Sunderland,2022-02-24 20:46:00,Race 10,450,1,0
78180,Sunderland,2022-02-24 21:01:00,Race 11,450,1,0
78181,Sunderland,2022-02-24 21:16:00,Race 12,450,1,0
78160,Swindon,2022-02-24 15:54:00,Race 1,476,1,0
78161,Swindon,2022-02-24 16:14:00,Race 2,476,1,0
78162,Swindon,2022-02-24 16:34:00,Race 3,476,1,0
78163,Swindon,2022-02-24 16:54:00,Race 4,476,1,0
78164,Swindon,2022-02-24 17:14:00,Race 5,476,1,0
78165,Swindon,2022-02-24 17:33:00,Race 6,476,1,0
78166,Swindon,2022-02-24 17:52:00,Race 7,476,1,0
78167,Swindon,2022-02-24 18:12:00,Race 8,476,1,0
78168,Swindon,2022-02-24 18:31:00,Race 9,476,1,0
78169,Swindon,2022-02-24 18:46:00,Race 10,476,1,0
78206,Towcester,2022-02-24 10:53:00,Race 1,500,1,0
78207,Towcester,2022-02-24 11:09:00,Race 2,500,1,0
78208,Towcester,2022-02-24 11:24:00,Race 3,270,1,0
78209,Towcester,2022-02-24 11:39:00,Race 4,500,1,0
78210,Towcester,2022-02-24 11:54:00,Race 5,270,1,0
78211,Towcester,2022-02-24 12:09:00,Race 6,500,1,0
78212,Towcester,2022-02-24 12:24:00,Race 7,500,1,0
78213,Towcester,2022-02-24 12:39:00,Race 8,500,1,0
78214,Towcester,2022-02-24 12:54:00,Race 9,270,1,0
78215,Towcester,2022-02-24 13:09:00,Race 10,270,1,0
78216,Towcester,2022-02-24 13:24:00,Race 11,500,1,0
78217,Towcester,2022-02-24 13:39:00,Race 12,500,1,0
