greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
BEAMING BREXIT,14541,T M Levers,2,0,51656,3,0.015,3.5,[],79332,2022-03-04 16:18
WEE ROSIES RABBO,16752,N J Deas,4,0,5TT23,4,0.1225,3.75,[],79332,2022-03-04 16:18
PENNYS RIVIERA,16753,G L Davidson,6,0,44631,5,0.0,7.0,[],79332,2022-03-04 16:18
BENMORE HOT SHOT,19380,J Turner,1,0,TT616,1,0.0,5.0,[],79333,2022-03-04 16:38
FERNDALE CHIMED,15228,J S Atkins,4,0,T2432,2,0.07,4.33,[],79333,2022-03-04 16:38
IBIZAN,4308,N F Carter,3,0,25625,3,0.28,3.5,[],79333,2022-03-04 16:38
SOLO PRIMERO,10493,J Turner,2,0,52213,4,0.1575,3.75,[],79333,2022-03-04 16:38
SURPRISE LADY,19052,N F Carter,6,0,56566,5,0.14,7.0,[],79333,2022-03-04 16:38
DECE GEM,10588,D Childs,5,0,16621,6,0.0875,6.5,[],79333,2022-03-04 16:38
BALLYMAC YOYO,7049,A Kelly-Pilgrim,6,0,23TT1,1,0.0,5.0,[],79334,2022-03-04 16:58
ASCOT IZZY,17874,T M Levers,5,0,11261,2,0.03,4.33,[],79334,2022-03-04 16:58
BATTIES FLASH,17608,J S Atkins,1,0,42461,3,0.105,3.5,[],79334,2022-03-04 16:58
SKIDDAW,13159,J Turner,2,0,23133,4,0.0,3.75,[],79334,2022-03-04 16:58
MONAMOLIN MIMI,12393,A Kelly-Pilgrim,4,0,55131,5,0.1225,7.0,[],79334,2022-03-04 16:58
PESKY FLORENCE,15694,T M Levers,3,0,T6T12,6,0.21,6.5,[],79334,2022-03-04 16:58
ASCOT MAISIE,15067,J W Reynolds,3,0,53221,1,0.0,5.0,[],79335,2022-03-04 17:18
MERIDIAN CAPTAIN,18055,N F Carter,2,0,42554,2,0.0,4.33,[],79335,2022-03-04 17:18
MOANING AMY,5329,D B Whitton,4,0,25443,3,0.07,3.5,[],79335,2022-03-04 17:18
BURNPARK SHIRLEY,1211,J Turner,1,0,51453,4,0.2625,3.75,[],79335,2022-03-04 17:18
KEREIGHT PRODIGY,14438,G L Davidson,5,0,44122,5,0.175,7.0,[],79335,2022-03-04 17:18
STOPHERS ANNIE,16757,G L Davidson,6,0,31341,6,0.0875,6.5,[],79335,2022-03-04 17:18
FENGATE POSH,8286,P Ward,6,0,64356,1,0.0,5.0,[],79296,2022-03-04 10:12
RUNALONG RUBY,19728,D F Carter,1,0,TTTT,2,0.56,4.33,[],79296,2022-03-04 10:12
AUTOKNOWBETTER,15970,D K Hurlock,4,0,T3542,3,0.0,3.5,[],79296,2022-03-04 10:12
GORTOWN HERO,16233,S A Clark,2,0,62445,4,0.03,3.75,[],79296,2022-03-04 10:12
HOLLYWOOD TINK,15397,T S Welch,5,0,33164,5,0.0875,7.0,[],79296,2022-03-04 10:12
SAFE JET,18525,D F Carter,3,0,66666,6,0.1925,6.5,[],79296,2022-03-04 10:12
KNOCKDRINNA JOJO,13626,S A Saberton,4,0,4346T,1,0.0,5.0,[],79297,2022-03-04 10:31
LIMERICK LEAH,2217,C Wilson,1,0,TT6TT,2,0.0,4.33,[],79297,2022-03-04 10:31
HELLO TWIGGY,8046,D F Carter,6,0,44161,3,0.0,3.5,[],79297,2022-03-04 10:31
ESSJAY BOWERS,19729,S A Saberton,5,0,TTTTT,4,0.0875,3.75,[],79297,2022-03-04 10:31
FANCY MISS,15880,P Clarke,3,0,23156,5,0.455,7.0,[],79297,2022-03-04 10:31
LEMMING CELLO,17192,P Clarke,2,0,1635T,6,0.07,6.5,[],79297,2022-03-04 10:31
SNOW TULIP,19298,P Ward,3,0,TT311,1,0.0,5.0,[],79298,2022-03-04 10:46
BLACK EYED RAZL,15034,D R Jinks,2,0,6T251,2,0.14,4.33,[],79298,2022-03-04 10:46
MONROE BECKY,17454,P Ward,4,0,12455,3,0.015,3.5,[],79298,2022-03-04 10:46
MILLVIEW BLONDIE,17205,P Ward,1,0,11124,4,0.315,3.75,[],79298,2022-03-04 10:46
BALLYGIBBA TIMES,9764,P Clarke,6,0,T6211,5,0.105,7.0,[],79298,2022-03-04 10:46
HARTWOOD ROXI,4208,D F Carter,5,0,11316,6,0.015,6.5,[],79298,2022-03-04 10:46
SALEMS HAWAII,322,S A Clark,2,0,15136,1,0.0,5.0,[],79299,2022-03-04 11:01
BALLYHOOLY ANNA,2301,R M Emery,1,0,24431,2,0.03,4.33,[],79299,2022-03-04 11:01
CHUCKER,5324,D K Hurlock,6,0,24253,3,0.105,3.5,[],79299,2022-03-04 11:01
ROSEVILLE EVA,7843,R M Emery,3,0,32122,4,0.1575,3.75,[],79299,2022-03-04 11:01
GLENBEECH ROCH,310,D F Carter,5,0,63155,5,0.14,7.0,[],79299,2022-03-04 11:01
BALISTIC MOLLY,11747,D K Hurlock,4,0,15226,6,0.2625,6.5,[],79299,2022-03-04 11:01
PYRAZA,9880,P Ward,2,0,21223,1,0.0,5.0,[],79300,2022-03-04 11:16
SANDFORD HOME,15124,S A Saberton,3,0,12162,2,0.245,4.33,[],79300,2022-03-04 11:16
ROSEVILLE ESKE,18251,P Ward,5,0,21135,3,0.0,3.5,[],79300,2022-03-04 11:16
REAGROVE GINA,6118,P Ward,4,0,24565,4,0.0875,3.75,[],79300,2022-03-04 11:16
CURIOUS SEAN,10041,D K Hurlock,1,0,15531,5,0.07,7.0,[],79300,2022-03-04 11:16
DURROW GOLD,15446,S A Saberton,6,0,31312,6,0.015,6.5,[],79300,2022-03-04 11:16
ASHBANK WILMA,10210,S A Clark,5,0,53454,1,0.0,5.0,[],79301,2022-03-04 11:31
LEAHS GENUINE,12565,P Ward,2,0,52232,2,0.14,4.33,[],79301,2022-03-04 11:31
DOREENS GIRL,3136,K G Crew,1,0,33455,3,0.015,3.5,[],79301,2022-03-04 11:31
TINKS BEAUT,15380,S A Saberton,3,0,22236,4,0.21,3.75,[],79301,2022-03-04 11:31
DUDDY DODGER,11963,S A Saberton,6,0,415TT,5,0.2275,7.0,[],79301,2022-03-04 11:31
HITTHELIDS KAY,5307,P Ward,4,0,51T53,6,0.105,6.5,[],79301,2022-03-04 11:31
