greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
HOGANS BOY,4723,J Andrews,6,0,41346,1,0.0,4.33,[],53128,2021-08-28 19:41
MODDEY DHOO,2530,A R Upton,4,0,4TTT6,2,0.75,9.0,[],53128,2021-08-28 19:41
KEPLAR VESTA,16202,B Draper,5,0,TTTT2,3,1.75,6.5,[],53128,2021-08-28 19:41
SPICE AGE,4725,P Barlow,1,0,1TT33,4,1.25,9.0,[],53128,2021-08-28 19:41
YAHOO DANIEL,3431,K Hodson,2,0,45543,5,3.5,1.8,[],53128,2021-08-28 19:41
MISS DEE,7937,N J Saunders,3,0,41154,6,4.25,9.0,[],53128,2021-08-28 19:41
