greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
ARDMORE JET,3341,J A Teal,5,0,35531,1,0.0,3.75,[],79152,2022-03-03 19:26
DEFINITIVE FORCE,18839,J Sutherst,1,0,T4513,2,0.2625,2.5,[],79152,2022-03-03 19:26
CAMLIN OLLIE,18588,K Blackbird,3,0,15141,3,0.14,8,[],79152,2022-03-03 19:26
MONBEG MESSI,6493,C Mcnicholas,2,0,T6521,4,0.0875,5,[],79152,2022-03-03 19:26
KIRSTENS STAR,11638,R Thompson,4,0,34161,5,0.0,7.5,[],79152,2022-03-03 19:26
BARNTICK JACKIE,2395,S Linley,6,0,6T36T,6,0.105,6.5,[],79152,2022-03-03 19:26
