greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
ALNWICK ZOOM,11248,A Harrison,6,0,62636,1,0.0,2.63,[],79002,2022-03-02 17:22
DROOPYS FREYA,3453,A Harrison,2,0,52515,2,0.1225,5,[],79002,2022-03-02 17:22
MAUREEN STAR,11701,T G Edgar,1,0,16416,3,0.0,11,[],79002,2022-03-02 17:22
SUPA KENZIE,202,J J Fenwick,4,0,66436,4,0.0875,4.33,[],79002,2022-03-02 17:22
GYPSY NIPPER,5600,M Walsh,5,0,2T663,5,0.245,4,[],79002,2022-03-02 17:22
SUPA CYBIL,18494,J J Fenwick,3,0,51555,6,0.1225,8,[],79002,2022-03-02 17:22
