greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
HOLLYHILL MILLIE,15869,D P Brabon,1,0,41253,1,0.0,2.1,[],78396,2022-02-25 21:18
GO HIGHER,16656,D K Hurlock,3,0,TT55T,2,0.0,7,[],78396,2022-02-25 21:18
HOLLYOAK DAVE,17554,R W Butler,5,0,5T633,3,0.015,4,[],78396,2022-02-25 21:18
DRYLAND JET,18751,B D O&#x27;sullivan,6,0,6TTTT,4,0.2975,6,[],78396,2022-02-25 21:18
HOLLYOAK JEFF,19137,R W Butler,2,0,TT313,5,0.0,9,[],78396,2022-02-25 21:18
PERFECTO NORA,16932,S Mavrias,4,0,5553T,6,0.015,8,[],78396,2022-02-25 21:18
