greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
INSANE PANTHER,16171,G Andreas,2,0,24122,1,0.0,1.67,[],78931,2022-03-01 16:48
DUNBAR ALPHA,16766,M C B Collins,1,0,43315,2,0.105,10,[],78931,2022-03-01 16:48
SANDSIDE GALTEE,5854,S A Cahill,5,0,53545,3,0.105,4.5,[],78931,2022-03-01 16:48
SKYBLUES BEST,14981,G Andreas,4,0,15361,4,0.02,9,[],78931,2022-03-01 16:48
YOURS OR MINE,16764,A E Gardiner,3,0,25141,5,0.105,6.5,[],78931,2022-03-01 16:48
AGHABURREN JACK,6753,B S Green,6,0,64216,6,0.0,13,[],78931,2022-03-01 16:48
