greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
BOSSA NOVA BABY,14883,A Kelly-Pilgrim,5,0,54656,1,0.0,5,[],78569,2022-02-26 21:24
BUDGEARNIE,15581,N J Deas,3,0,13254,2,0.14,4,[],78569,2022-02-26 21:24
BALLYMAC BURCRAN,11873,A Kelly-Pilgrim,2,0,TTT63,3,0.2275,5.5,[],78569,2022-02-26 21:24
SEOMRA WENDY,13476,N J Deas,4,0,44T34,4,0.105,2,[],78569,2022-02-26 21:24
RARITY,1148,T Batchelor,1,0,24411,5,0.0,10,[],78569,2022-02-26 21:24
