greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
SWIFT ODYSSEY,16276,J S Atkins,4,0,1T443,1,0.0,3.25,[],79329,2022-03-04 15:18
PITCH AND TOSS,12377,J W Reynolds,6,0,42225,2,0.14,3.25,[],79329,2022-03-04 15:18
LAMORNA TIGRESS,427,D W Lee,1,0,6331T,3,0.1225,10,[],79329,2022-03-04 15:18
SAIL ON MICHAELA,9335,N F Carter,3,0,3452T,4,0.0,6,[],79329,2022-03-04 15:18
BAYTOWN LUCKY,14308,D W Lee,5,0,42134,5,0.42,7,[],79329,2022-03-04 15:18
LEPPINLIZARD,17653,M K Smith,2,0,41221,6,0.015,4,[],79329,2022-03-04 15:18
