greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
SALACRES MIA,17949,P H Harnden,2,0,336T6,1,0.0,8,[],79190,2022-03-03 12:24
SAVANA MIRANDA,19399,F J Gray,1,0,TTTT4,2,0.35,4.5,[],79190,2022-03-03 12:24
SAVANA TWILIGHT,19401,F J Gray,3,0,TTTT1,3,0.105,5,[],79190,2022-03-03 12:24
GREENCROFT SPOT,10971,S J Rayner,6,0,52462,4,0.0,4.33,[],79190,2022-03-03 12:24
SHADY DAN,13213,S J Roberts,4,0,31456,5,0.1575,3.5,[],79190,2022-03-03 12:24
SEAVIEW DUSTY,15050,F J Gray,5,0,45344,6,0.015,5,[],79190,2022-03-03 12:24
