greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
KILDALLON PRINCE,15799,E G Samuels,4,0,23614,1,0.0,9,[],79024,2022-03-02 20:52
DECOY PARKER,12967,K J Cobbold,6,0,11T24,2,0.14,4.5,[],79024,2022-03-02 20:52
CHELMS TORNADO,15598,J G Mullins,1,0,T3634,3,0.0,3.75,[],79024,2022-03-02 20:52
MAXI TWISTER,17100,S Clayton,2,0,411T2,4,0.105,1.8,[],79024,2022-03-02 20:52
DECOY WOODY,12169,K J Cobbold,3,0,42411,5,0.07,15,[],79024,2022-03-02 20:52
ADAMANT TROOPER,9412,J E Craske,5,0,312T6,,0.0,,[],79024,2022-03-02 20:52
