greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
CANYA ISAID,15219,W M Lyons,2,0,T411T,1,0.0,6,[],78607,2022-02-27 15:26
HAKA MELODY,17527,J Robinson,3,0,12122,2,0.175,3,[],78607,2022-02-27 15:26
CLONEEN SOLDIER,19084,J Scott,4,0,54234,3,0.07,3.25,[],78607,2022-02-27 15:26
BLESSTHEHULK,18670,B Heaton,6,0,662T3,4,0.07,5,[],78607,2022-02-27 15:26
TREE TOPS,7914,W M Lyons,5,0,1TTTT,5,0.0,9.5,[],78607,2022-02-27 15:26
YAHOO SONIA,11787,P A Holmes,1,0,43236,6,0.1225,6.5,[],78607,2022-02-27 15:26
