greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
HOLD THE ACE,14303,L Cook,1,0,36T44,1,0.0,3.75,[],78735,2022-02-28 18:26
GOLDSMITH TEDDY,2668,M T Munslow,3,0,22214,2,0.0,7,[],78735,2022-02-28 18:26
FLYING IZZY,17121,P M Holland,5,0,12543,3,0.1925,3.5,[],78735,2022-02-28 18:26
STORMY LISA,18214,P J Wilson,2,0,15344,4,0.015,7,[],78735,2022-02-28 18:26
BLING BLING ENDA,19027,B Denby,4,0,T5TTT,5,0.0875,15,[],78735,2022-02-28 18:26
BLUSHING GROOM,15396,C N Wilton,6,0,45423,6,0.105,2.63,[],78735,2022-02-28 18:26
