greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
AUTUMN JUPITER,16549,J A Teal,1,0,T5524,1,0.0,4,[],78853,2022-03-01 16:04
WASNEVERAJOCKEY,14111,M J Fieldson,2,0,65343,2,0.1575,5.5,[],78853,2022-03-01 16:04
DERRAMORE BLAKE,4088,S Linley,5,0,43536,3,0.07,8,[],78853,2022-03-01 16:04
COOLOGUE GENERAL,18616,G Strike,3,0,31335,4,0.0875,2.75,[],78853,2022-03-01 16:04
AUTUMN TYPHOON,17074,J A Teal,4,0,15444,5,0.105,4,[],78853,2022-03-01 16:04
ARDERA NIAMH,4131,M J Fieldson,6,0,62441,6,0.0,9.5,[],78853,2022-03-01 16:04
