greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
CHOCTAW LUSA,7556,S Atkinson,6,0,23443,1,0.0,2.75,[],78314,2022-02-25 20:46
HONOUR MADONNA,13025,A S Mcpherson,1,0,TTT51,2,0.0875,11,[],78314,2022-02-25 20:46
COYOTE COWBOY,16546,S Moore,4,0,51465,3,0.0,4.5,[],78314,2022-02-25 20:46
KEEPERHILL BONUS,15315,P C White,5,0,46342,4,0.28,6.5,[],78314,2022-02-25 20:46
HADDINGTON MARY,247,M T Munslow,3,0,65442,5,0.21,2.38,[],78314,2022-02-25 20:46
NIDDERDALEGROUSE,7910,J Llewellin,2,0,55554,6,0.2625,26,[],78314,2022-02-25 20:46
