greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
PHARIS SKY,18778,S A Aveline,3,0,16441,1,0.0,4.5,[],78688,2022-02-28 11:21
BALLYMURRY BRIAN,12500,P A Holder,2,0,42223,2,0.1575,3.75,[],78688,2022-02-28 11:21
MARWOOD DIVA,16018,J R Hall,5,0,22456,3,0.0,4.5,[],78688,2022-02-28 11:21
CANAVOUR BILL,18635,P A Holder,4,0,51654,4,0.07,6,[],78688,2022-02-28 11:21
BURKOS BLUE,14113,S W Deakin,1,0,36334,5,0.315,5,[],78688,2022-02-28 11:21
OLDINN LUCKY,15103,I E Walker,6,0,36442,6,0.2975,5,[],78688,2022-02-28 11:21
