greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
CROSSFIELD DUSTY,16184,P Janssens,5,0,T1211,1,0.0,2.63,[],79359,2022-03-04 20:17
NEWINN TIK TOK,16085,P J Browne,6,0,22TT2,2,0.35,8,[],79359,2022-03-04 20:17
HAVANA CLASS,13176,E Mcnair,2,0,T3112,3,0.14,2,[],79359,2022-03-04 20:17
GLENGAR DAISY,16617,M P Brown,1,0,41316,4,0.1925,21,[],79359,2022-03-04 20:17
SWIFT RAISIN,13832,P D Burr,3,0,64215,5,0.175,21,[],79359,2022-03-04 20:17
MARCH ON HENRY,13576,J T Kingsley,4,0,1T415,6,0.02,13,[],79359,2022-03-04 20:17
