greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
HITTHELIDS MOLLY,18619,N J Deas,1,0,32553,1,0.0,8,[],78358,2022-02-25 17:54
ROMAN STREAM,15773,K A Daly,2,0,35TTT,2,0.315,4,[],78358,2022-02-25 17:54
ASCOT JAN,17600,T M Levers,3,0,32522,3,0.1225,2.25,[],78358,2022-02-25 17:54
MAGICIANS TOOL,10965,K A Daly,5,0,32355,4,0.02,7,[],78358,2022-02-25 17:54
NORA PARKER,13968,J Turner,4,0,42652,5,0.315,7,[],78358,2022-02-25 17:54
GLASSMOSS BUD,16359,G L Davidson,6,0,42513,6,0.02,6,[],78358,2022-02-25 17:54
