greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
GURTNACREHYBLAKE,19522,J M Walton,4,0,TTTT,1,0.0,2.38,[],78447,2022-02-26 19:58
MASTER ROO,6584,C Handford,2,0,64325,2,0.2275,3.25,[],78447,2022-02-26 19:58
THATSUPTOYOU,18285,N J Saunders,5,0,24521,3,0.14,8,[],78447,2022-02-26 19:58
NO SPEED LIMIT,19521,B Draper,1,0,TTTT2,4,0.49,4,[],78447,2022-02-26 19:58
GEELO DELIGHT,13238,J D Davy,3,0,4T225,5,0.0,8.5,[],78447,2022-02-26 19:58
MAGNA BOSS,12507,B Draper,6,0,55T33,,0.0,,[],78447,2022-02-26 19:58
