greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
OFFTHE LINE SHAM,18156,A Kelly-Pilgrim,2,0,22313,1,0.0,3.5,[],78954,2022-03-01 20:03
BLUE RETURN,11290,D Childs,3,0,53232,2,0.175,7,[],78954,2022-03-01 20:03
WAIKIKI SIRIUS,19357,J Turner,5,0,T6664,3,0.0,6.5,[],78954,2022-03-01 20:03
YACHT PANDA,9382,J J Luckhurst,1,0,26621,4,0.015,2.88,[],78954,2022-03-01 20:03
ACE OF ADOG,7141,D W Lee,4,0,35166,5,0.0,6.5,[],78954,2022-03-01 20:03
MOANING BEYONCE,372,D B Whitton,6,0,161T6,6,0.3675,5,[],78954,2022-03-01 20:03
