greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
TINTREACH JET,16921,P M Donovan,6,0,124T1,1,0.0,2.75,[],78666,2022-02-27 18:43
CORRIN LOGAN,16730,D W Lee,2,0,41533,2,0.07,7,[],78666,2022-02-27 18:43
SHREWD CALL,7182,D Mullins,3,0,4116T,3,0.0875,1.67,[],78666,2022-02-27 18:43
BELLAGORS MAGIC,12100,A M P Collett,1,0,46132,4,0.2625,13,[],78666,2022-02-27 18:43
ARDERIN SHADOW,16742,B D O&#x27;sullivan,4,0,53435,5,0.0875,34,[],78666,2022-02-27 18:43
LA DINERO,13958,J T Kingsley,5,0,6235T,6,0.07,34,[],78666,2022-02-27 18:43
