greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
PENNYLANE SOCKS,10088,P Miller,2,0,T142T,1,0.0,3.75,[],78860,2022-03-01 18:51
CATSBRINDLE GIRL,16288,B Draper,4,0,T3213,2,0.03,2.5,[],78860,2022-03-01 18:51
HOPES ARE HIGH,15614,S Roberts,3,0,T4162,3,0.0875,7.5,[],78860,2022-03-01 18:51
EASY GEORGE,10481,D L Fretwell,5,0,4T124,4,0.1225,7.5,[],78860,2022-03-01 18:51
FANTASY PAUL,16032,K J O&#x27;hara,6,0,61165,5,0.1225,4.33,[],78860,2022-03-01 18:51
JAZZ TOES,14658,G A Ferguson,1,0,T1112,,0.0,,[],78860,2022-03-01 18:51
