greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
MILLROAD ROCK,17261,D K Hurlock,6,0,14213,1,0.0,3.5,[],79368,2022-03-04 19:07
SLANAN BEN,17672,S Mavrias,3,0,11232,2,0.02,3.75,[],79368,2022-03-04 19:07
STRONGERWITHYOU,4893,M N Fenwick,5,0,54433,3,0.015,5.5,[],79368,2022-03-04 19:07
FEORA WISH,17259,R Pattinson,2,0,33325,4,0.105,4,[],79368,2022-03-04 19:07
DECISIVE JULIE,13710,M N Fenwick,4,0,35143,5,0.0875,6.5,[],79368,2022-03-04 19:07
PERFECTO NORA,16932,S Mavrias,1,0,553T6,6,0.735,7,[],79368,2022-03-04 19:07
