greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
SMITHY STARDAWG,6899,J J Gornall,2,0,21653,1,0.0,2.88,[],78684,2022-02-27 20:43
FAIR ROCKET,12950,J M Ray,5,0,56T54,2,0.015,5.5,[],78684,2022-02-27 20:43
SAVANA SUNDOWN,9675,G A Payne,1,0,5435T,3,0.03,6,[],78684,2022-02-27 20:43
SAVANA DANIELLE,17022,J M Ray,4,0,66T66,4,0.28,7,[],78684,2022-02-27 20:43
STEEPLE RD SNOWY,796,K C Robins,6,0,T6342,5,0.28,4.5,[],78684,2022-02-27 20:43
SAVANA DIMITRA,17226,P Tsirigotis,3,0,31616,6,0.07,4.5,[],78684,2022-02-27 20:43
