greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
STAR BAWN,1892,N Langley,6,0,16623,1,0.0,3.75,[],79252,2022-03-04 12:21
SHERIFFS RODDICK,13911,S Oakes,3,0,22512,2,0.14,3,[],79252,2022-03-04 12:21
SNIPER RONAN,16529,D W Wright,4,0,23331,3,0.175,3.75,[],79252,2022-03-04 12:21
PUMBAA HUNGRY,18850,M J Siddall,5,0,15335,4,0.02,6.5,[],79252,2022-03-04 12:21
BALLYMAC GRAINNE,15,B Heaton,2,0,16154,5,0.35,7,[],79252,2022-03-04 12:21
EASY ALAN,6239,D J Hammond,1,0,12514,6,0.0875,9,[],79252,2022-03-04 12:21
