greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
BALLYGUR JEAN,14130,P S Rea,6,0,TT112,1,0.0,1.67,[],78766,2022-02-28 12:39
FIELDVIEW ANGENI,1338,P S Rea,1,0,26465,2,0.2625,9,[],78766,2022-02-28 12:39
ECHOES IN RAIN,15995,J Blunt,5,0,35415,3,0.14,4.33,[],78766,2022-02-28 12:39
LEMON LINDA,10174,J Blunt,4,0,35643,4,0.175,7,[],78766,2022-02-28 12:39
DE WHITE BOXER,12873,A Ioannou,2,0,33645,5,0.28,10,[],78766,2022-02-28 12:39
SAVANA ME,17665,G A Payne,3,0,54466,6,0.315,12,[],78766,2022-02-28 12:39
