greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
ODELL LEIA,15631,J J Fenwick,6,0,41633,1,0.0,3.5,[],78876,2022-03-01 19:34
ITS A TRAVESTY,18281,S G Tighe,2,0,33311,2,0.0,2.5,[],78876,2022-03-01 19:34
JAGUAR TESS,15010,T G Edgar,1,0,33321,3,0.175,9,[],78876,2022-03-01 19:34
DROOPYS MATEO,4821,A Harrison,5,0,44445,4,0.0,8.5,[],78876,2022-03-01 19:34
TAPUTTI,11759,S Roberts,3,0,32634,5,0.0,4.5,[],78876,2022-03-01 19:34
ASHGROVE ROVER,15168,W Finley,4,0,5565T,6,0.0,7.5,[],78876,2022-03-01 19:34
