greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
FRANCESCA LOLA,8533,J J Luckhurst,2,0,32513,1,0.0,3.75,[],79198,2022-03-03 14:23
MOANING MINOGUE,11567,D B Whitton,4,0,51336,2,0.1925,3.75,[],79198,2022-03-03 14:23
NEVER ENDING,1661,K A Daly,1,0,24242,3,0.02,5.5,[],79198,2022-03-03 14:23
YOU NEVER LEARN,7044,J W Reynolds,6,0,6TTTT,4,0.1925,6,[],79198,2022-03-03 14:23
MILESTONE ZOE,19378,M K Smith,3,0,TT511,5,0.1575,6,[],79198,2022-03-03 14:23
ROMAN LILLY,12430,K A Daly,5,0,43213,6,0.105,4.5,[],79198,2022-03-03 14:23
