greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
LACKEN DOT,14958,C D Marston,2,0,3T242,1,0.0,2.5,[],78917,2022-03-01 16:38
ENJAYS DIVA,10140,P A Curtin,1,0,12152,2,0.0,7,[],78917,2022-03-01 16:38
STRATEGIC BLAZE,19691,P A Sallis,5,0,TTTT,3,0.0,3,[],78917,2022-03-01 16:38
STYLISH SUCCESS,14243,C S Fereday,6,0,33153,4,0.015,4.5,[],78917,2022-03-01 16:38
FINAL HANNAH,14755,K Billingham,3,0,2145T,5,0.0875,9,[],78917,2022-03-01 16:38
BEATTIES ELEANOR,8941,K Billingham,4,0,51426,6,0.0875,17,[],78917,2022-03-01 16:38
