greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
LIGHTFOOT AGNES,16092,B Draper,1,0,12T14,1,0.0,3.5,[],78442,2022-02-26 18:36
KISHLAWN AOIFE,18332,N J Saunders,3,0,65231,2,0.02,9,[],78442,2022-02-26 18:36
INCA PENNY BLACK,5663,P Barlow,6,0,1T223,3,0.0,2.63,[],78442,2022-02-26 18:36
SHARPYS PANDORA,18098,J Sharp,2,0,15225,4,0.3325,4.5,[],78442,2022-02-26 18:36
EASY FIZZ,18417,K M Grayson,4,0,43132,5,0.14,6,[],78442,2022-02-26 18:36
GREAT PADDY,17485,B Draper,5,0,54216,6,0.07,9.5,[],78442,2022-02-26 18:36
