greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
SIGNATURE DANCER,637,M P Brown,3,0,54155,1,0.0,3.75,[],78904,2022-03-01 12:54
BIT VIEW LASSY,6923,D Mullins,6,0,66T11,1,0.0,5,[],78904,2022-03-01 12:54
SWABYS SYDNEY,18597,D Mullins,4,0,16316,3,0.35,2.63,[],78904,2022-03-01 12:54
HOUR GLASS SAM,15592,M P Brown,2,0,62645,4,0.14,10,[],78904,2022-03-01 12:54
OPENING MISCHIEF,5070,B Doyle,1,0,5512T,5,0.0,6,[],78904,2022-03-01 12:54
KINGDOM HILL,11443,B Doyle,5,0,32241,6,0.0,6.5,[],78904,2022-03-01 12:54
