greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
HES A BLADE,15376,P I Cowdrill,4,0,23316,1,0.0,3,[],78360,2022-02-25 14:12
TULLIG ANT,17181,C D Marston,1,0,56331,2,0.0875,3,[],78360,2022-02-25 14:12
CROSSFIELD LARRY,19622,A J Dunn,5,0,TTTT,3,0.015,5.5,[],78360,2022-02-25 14:12
MOANTEEN KIARAN,2936,K Billingham,3,0,446TT,4,0.02,7,[],78360,2022-02-25 14:12
GRUBBAG MAG,19048,C S Fereday,6,0,61354,5,0.4725,4.5,[],78360,2022-02-25 14:12
MALBAY MEENA,7060,S M Buckland,2,0,42166,6,0.1225,17,[],78360,2022-02-25 14:12
