greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
PACIFIC NINA,17692,N J Hunt,3,0,13455,1,0.0,11,[],79362,2022-03-04 21:12
GREEDY PUNTER,18354,S A Cahill,4,0,3111T,2,0.07,3,[],79362,2022-03-04 21:12
LESSON IN LIFE,17830,P W Young,2,0,324T5,3,0.07,2.5,[],79362,2022-03-04 21:12
KEEPERHILL TIPP,15298,M E Westwood,6,0,135TT,4,0.14,5.5,[],79362,2022-03-04 21:12
SAVANA RIA,18238,G A Payne,1,0,2T31T,5,0.1575,5.5,[],79362,2022-03-04 21:12
CHASING ANNA,18605,J Bloomfield,5,0,65T55,6,0.0,17,[],79362,2022-03-04 21:12
