greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
CLASSIC BUICK,16422,P P Deal,3,0,14144,1,0.0,3.25,[],79099,2022-03-02 20:43
BODACIOUS,13296,P P Deal,4,0,344T5,2,0.14,3.25,[],79099,2022-03-02 20:43
DROPDOWN LOVELY,10460,P B Witchell,5,0,61222,3,0.4025,6,[],79099,2022-03-02 20:43
TRADE PIPPY,9485,P B Witchell,1,0,22165,4,0.0,3.5,[],79099,2022-03-02 20:43
ROMAN COCO,11393,P B Witchell,2,0,626TT,5,0.175,13,[],79099,2022-03-02 20:43
LEMMING SPICE,17114,P Clarke,6,0,6T36T,6,0.2975,8,[],79099,2022-03-02 20:43
