greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
HEADFORD SABBATH,6115,S A Saberton,6,0,35114,1,0.0,11,[],78742,2022-02-28 20:21
FORTUNATE ANGEL,17941,P M Holland,1,0,16116,2,0.015,3,[],78742,2022-02-28 20:21
ANYNAMEWILLDO,13265,T C Heilbron,4,0,3115T,3,0.1575,3.5,[],78742,2022-02-28 20:21
GLATTON GIANNI,16185,R Devenish,3,0,11T6T,4,0.03,2.75,[],78742,2022-02-28 20:21
ANOTHER DOVE,14531,I E Walker,2,0,T12T5,5,0.015,19,[],78742,2022-02-28 20:21
PENNYS SERVIUS,14944,J P Lambe,5,0,412T4,6,0.0,21,[],78742,2022-02-28 20:21
