greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
MUSTANG WHISPER,11645,R Devenish,4,0,45531,1,0.0,8,[],78770,2022-02-28 13:39
LUNA JEZABELLE,14776,K C Robins,5,0,32132,2,0.105,5.5,[],78770,2022-02-28 13:39
LAYTON SHREK,5803,S H Fletcher,3,0,16141,3,0.1225,3.75,[],78770,2022-02-28 13:39
CLOCKWORK GIRL,5778,J Bloomfield,2,0,1T334,4,0.315,11,[],78770,2022-02-28 13:39
SAVANA VICTOR,10203,P Tsirigotis,6,0,35215,5,0.105,17,[],78770,2022-02-28 13:39
CLONCUNNY MIKE,11313,R Fitch,1,0,32141,6,99.9,1.83,[],78770,2022-02-28 13:39
