greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
TOPSTAR NIDGE,11434,N F Carter,6,0,4556T,1,0.0,7,[],78494,2022-02-26 13:39
KEREIGHT PRODIGY,14438,G L Davidson,5,0,34412,2,0.02,5.5,[],78494,2022-02-26 13:39
SLAHENY DIAMOND,4324,D W Lee,1,0,22241,3,0.02,5.5,[],78494,2022-02-26 13:39
OSCARS MEMORIES,10875,J W Reynolds,2,0,32413,4,0.02,3.5,[],78494,2022-02-26 13:39
SLOWLANE SLIPPY,17523,N F Carter,3,0,44521,5,0.315,2.5,[],78494,2022-02-26 13:39
ONTHENIGHTSHIFT,13990,N F Carter,4,0,63166,6,0.175,13,[],78494,2022-02-26 13:39
