greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
INSANE JOE,17354,G Andreas,4,0,6TT25,1,0.0,5.5,[],79234,2022-03-03 21:12
PUNKROCK PISTOL,4440,S Maplesden,6,0,3145T,2,0.015,3,[],79234,2022-03-03 21:12
GET ON HILDA,19352,S A Cahill,2,0,TTT63,3,0.1925,4.5,[],79234,2022-03-03 21:12
BLACKMAGIC GIRL,13028,N E M Mcellistrim,5,0,556TT,4,0.07,6,[],79234,2022-03-03 21:12
PUNK ROCK BLITZ,14730,S Maplesden,3,0,64125,5,0.2625,7,[],79234,2022-03-03 21:12
ADACHI BOLT,1944,P J Browne,1,0,13424,6,0.015,4.33,[],79234,2022-03-03 21:12
