greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
COOLSIDE MAYBE,19158,S M Buckland,2,0,2536T,1,0.0,2.63,[],79063,2022-03-02 17:37
BARROW BAY,19708,C D Marston,3,0,TTTTT,2,0.03,8,[],79063,2022-03-02 17:37
MAD MARTHA,5451,P C White,1,0,14544,3,0.175,7,[],79063,2022-03-02 17:37
ALANAS BLUE,12876,C Jones,6,0,T3446,4,0.015,2.5,[],79063,2022-03-02 17:37
ONYERGOFREDDIE,5191,C S Fereday,5,0,626TT,5,0.07,6.5,[],79063,2022-03-02 17:37
FINAL ATHENA,19709,J B Thompson,4,0,TTTTT,6,0.3325,13,[],79063,2022-03-02 17:37
