greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
TRACYS TREASURE,17340,P J Rosney,4,0,T2524,1,0.0,2.63,[],78823,2022-03-01 11:21
FOLLOWTHE BUDDY,12549,S W Deakin,2,0,53521,2,0.03,6,[],78823,2022-03-01 11:21
CHURCHTOWN LAD,15982,W Russell,5,0,25331,3,0.0,7,[],78823,2022-03-01 11:21
DANCE TOBI,17323,P Naylor,6,0,24316,4,0.0,5,[],78823,2022-03-01 11:21
HONEYGAR BEAUTY,17688,R Williams,1,0,41135,5,0.0875,8,[],78823,2022-03-01 11:21
MINNIES SOCKI,10791,W Russell,3,0,25333,6,0.595,4,[],78823,2022-03-01 11:21
