greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
ZERO O SEVEN,11259,M N May,6,0,22132,1,0.0,3.25,[],78274,2022-02-25 12:21
FREEWAY ROSAH,18095,D Cooper,1,0,22515,2,0.0,6,[],78274,2022-02-25 12:21
LEXIS LADY,18440,I Zivkovic,4,0,15163,3,0.1575,4.5,[],78274,2022-02-25 12:21
KILLIEFORD ARIBO,14600,W M Lyons,5,0,46314,4,0.105,3.25,[],78274,2022-02-25 12:21
CREAMERY ASTAIRE,18263,D W Wright,2,0,41365,5,0.21,7,[],78274,2022-02-25 12:21
EASY ELLA,12318,D E Fradgley,3,0,114T6,6,0.07,7.5,[],78274,2022-02-25 12:21
