greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
BILLIS STARLET,10152,M T Munslow,1,0,24224,1,0.0,3.25,[],78305,2022-02-25 18:19
BETHANY,18141,A Stone,3,0,11625,2,0.0,2.88,[],78305,2022-02-25 18:19
TELE GIRL,9749,A Stone,2,0,55453,3,0.0,4.5,[],78305,2022-02-25 18:19
SEANY FIVE O,12354,J Gray,6,0,62533,4,0.1225,4.5,[],78305,2022-02-25 18:19
YODA LAYHEEHOO,225,P J Wilson,5,0,15655,5,0.0,9,[],78305,2022-02-25 18:19
CASEYS KELSEY,9078,S Atkinson,4,0,T6616,6,0.4025,13,[],78305,2022-02-25 18:19
