greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
KNOCKUNDER JAKE,8878,A J Taylor,1,0,TT664,1,0.0,3.75,[],78333,2022-02-25 10:53
YASSOO PERFECT,17468,G Andreas,2,0,646T6,2,0.2275,6,[],78333,2022-02-25 10:53
SESH POETS ANGEL,18134,D A Dark,4,0,13446,3,0.2625,4.33,[],78333,2022-02-25 10:53
KERRS LUNCH,17504,A J Taylor,3,0,45521,4,0.2625,5,[],78333,2022-02-25 10:53
PENNYS STUDIO,10299,R P Rees,6,0,44443,5,0.07,3.75,[],78333,2022-02-25 10:53
CHARTER PARTY,14515,M C B Collins,5,0,4462T,6,0.015,7,[],78333,2022-02-25 10:53
