greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
CHARLIE EM ALAN,12713,K C Robins,1,0,T2T25,1,0.0,2.5,[],78412,2022-02-25 09:34
BLACKROSE NORA,14045,A M Kirby,6,0,54TTT,2,0.21,3.5,[],78412,2022-02-25 09:34
ABSOLUTELYBANGIN,18688,P J Manley,3,0,22421,3,0.2975,3.5,[],78412,2022-02-25 09:34
UNKNOWN RUSH,15402,J Daly,4,0,52365,4,0.02,10,[],78412,2022-02-25 09:34
DEBBIE JEZABELLE,2158,K C Robins,2,0,T5T32,5,0.245,13,[],78412,2022-02-25 09:34
DROOPYS RAELYNN,443,J Daly,5,0,35454,6,0.02,8,[],78412,2022-02-25 09:34
