greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
MISSOURI BORIS,4014,P Clarke,3,0,5TTT5,1,0.0,5,[],78321,2022-02-25 11:16
MONEYGALL HAWK,3525,D K Hurlock,1,0,15413,2,0.245,3.25,[],78321,2022-02-25 11:16
CAMP FIRE,18057,D K Hurlock,5,0,25524,3,0.1225,4.33,[],78321,2022-02-25 11:16
HOLLYWOOD TINK,15397,T S Welch,4,0,53316,4,0.07,7,[],78321,2022-02-25 11:16
CROAGHILL LUCY,14129,D K Hurlock,2,0,5266T,5,0.0,8,[],78321,2022-02-25 11:16
FENGATE POSH,8286,P Ward,6,0,46435,6,0.0875,3.75,[],78321,2022-02-25 11:16
