greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
COUNTY BORDER,16112,A Ioannou,5,0,TTT42,1,0.0,4.5,[],78769,2022-02-28 13:24
PHARIS MELODY,15209,W M Scoles,3,0,61231,2,0.015,4.5,[],78769,2022-02-28 13:24
SWIFT SUMMIT,15927,J Bloomfield,2,0,T6521,3,0.02,2.38,[],78769,2022-02-28 13:24
FOURBET QUEENS,930,P S Rea,1,0,23125,4,0.105,5.5,[],78769,2022-02-28 13:24
SHENZI,12055,J Blunt,6,0,62444,5,0.105,9,[],78769,2022-02-28 13:24
MASTER BAILEY,11912,J Blunt,4,0,55423,6,0.0875,9,[],78769,2022-02-28 13:24
