greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
RIGHT TURN JOE,6503,P W Gregson,5,0,512T3,1,0.0,3.5,[],78716,2022-02-28 15:26
TEWMAX PRINCESS,14500,J M Walton,2,0,15225,2,0.02,2.25,[],78716,2022-02-28 15:26
LOLA MENDOZA,18379,B Draper,1,0,T5241,3,0.0875,4.5,[],78716,2022-02-28 15:26
EFFERNOGUE BEEF,13593,M A P O&#x27;donnell,6,0,64314,4,0.28,9,[],78716,2022-02-28 15:26
ABRAKEBABRA JOCK,12161,M A P O&#x27;donnell,4,0,TTT66,5,0.385,15,[],78716,2022-02-28 15:26
HALO EDDIE,14950,J Andrews,3,0,12363,6,0.0,7,[],78716,2022-02-28 15:26
