greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
HARRY KILMORE,16972,S A Cahill,2,0,T2322,1,0.0,3.5,[],78922,2022-03-01 13:57
DINNER NIGODIMOS,16721,S A Cahill,4,0,13115,2,0.245,7,[],78922,2022-03-01 13:57
RURAL ROSE,18403,P J Browne,3,0,61231,3,0.0,7,[],78922,2022-03-01 13:57
FEARSOME TIMMY,18852,A R Keppie,1,0,T3231,4,0.02,4.33,[],78922,2022-03-01 13:57
WARREN HILL,4470,A E Gardiner,6,0,62522,5,0.0,2.63,[],78922,2022-03-01 13:57
COME ON YOU KNOW,12863,R P Rees,5,0,42124,6,0.07,11,[],78922,2022-03-01 13:57
