greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
YUKON JOE,14949,J Moore,4,0,66124,1,0.0,6,[],79120,2022-03-03 12:43
CRINKILL SHEILA,15409,D L Fretwell,6,0,23522,2,0.1225,1.67,[],79120,2022-03-03 12:43
SLANEYSIDE BRIGS,6812,N J Saunders,2,0,31243,3,0.0,7,[],79120,2022-03-03 12:43
SWIFT VINI,19024,N J Saunders,1,0,61TTT,4,0.0875,13,[],79120,2022-03-03 12:43
LEMMING DINA,9521,M A P O&#x27;donnell,5,0,T4123,5,0.0,6.5,[],79120,2022-03-03 12:43
OUR BOBBY CASH,10483,H Grimshaw,3,0,TTTTT,6,0.1925,7,[],79120,2022-03-03 12:43
