greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
EXPERT DROOPY,7791,K A Kennedy,2,0,44T65,1,0.0,5.5,[],78597,2022-02-27 12:58
TANGOS STAR,19650,D Wilkinson,3,0,TTTT,2,0.245,4.5,[],78597,2022-02-27 12:58
JULES CHAMPION,1789,L Eagleton,5,0,15643,3,0.315,4.33,[],78597,2022-02-27 12:58
ASHBURN RUSH,5912,P A Bedding,1,0,2T553,4,0.0,2.75,[],78597,2022-02-27 12:58
EMERS PEPPER,11270,K A Kennedy,4,0,22226,5,0.1225,9,[],78597,2022-02-27 12:58
BALLYGIBBA HOPE,5920,R Ellis,6,0,63TTT,6,0.0,6.5,[],78597,2022-02-27 12:58
