greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
NIDDERDALE HAZEL,3193,J Llewellin,4,0,54445,1,0.0,5,[],78989,2022-03-02 13:36
HONOUR COLUMBO,14381,A S Mcpherson,2,0,15T51,2,0.1225,6,[],78989,2022-03-02 13:36
SANDYHILL MO,4692,E Saville,3,0,346T3,3,0.0,4.33,[],78989,2022-03-02 13:36
LYNAM THE LEGEND,7582,A S Mcpherson,6,0,144T4,4,0.015,4,[],78989,2022-03-02 13:36
HIMBOS TANZANITE,16702,C N Wilton,1,0,54665,5,0.14,5,[],78989,2022-03-02 13:36
HARWELL SILVER,17586,A R Timbrell,5,0,13352,6,0.49,4.33,[],78989,2022-03-02 13:36
