greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
MISS BIG PANTS,18931,J G Mullins,3,0,1242T,1,0.0,2.88,[],78654,2022-02-27 15:11
AMAZE ME SEB,19200,R P Rees,4,0,TTT43,2,0.015,3.5,[],78654,2022-02-27 15:11
ROMEO ALERT,19655,L G Tuffin,1,0,TTTT,3,0.455,15,[],78654,2022-02-27 15:11
SAVANA ISABELLA,17208,W C Munden,6,0,2261T,4,0.1575,2.88,[],78654,2022-02-27 15:11
ROMEO RECON,18991,L G Tuffin,5,0,1T35T,5,0.14,15,[],78654,2022-02-27 15:11
MILTON NEMO,18297,L Field,2,0,T4TT6,6,99.9,7,[],78654,2022-02-27 15:11
