greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
BALLYKILROE,15236,A M Kirby,6,0,TTT22,1,0.0,4,[],79387,2022-03-04 08:27
BLACKROSE BJORN,16257,J M Ray,5,0,TT2T6,2,0.07,11,[],79387,2022-03-04 08:27
BOULICK LOTTO,19266,J Daly,3,0,T4341,3,0.21,3.5,[],79387,2022-03-04 08:27
SAFFRONS DASH,19746,M A Wallis,2,0,TTTT,4,0.14,3,[],79387,2022-03-04 08:27
WESTWIND ZEBRA,1206,J Daly,1,0,TT125,5,0.4375,8,[],79387,2022-03-04 08:27
NEWTOWN GEMMA,19747,E J Cantillon,4,0,TTT,6,0.0,5,[],79387,2022-03-04 08:27
