greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
ALNWICK BISCUIT,11025,A Harrison,6,0,14622,1,0.0,6,[],78878,2022-03-01 20:06
GLENBEG LEGEND,11386,S Roberts,5,0,24114,2,0.245,3.25,[],78878,2022-03-01 20:06
HURLEYS MARCO,3467,A Harrison,3,0,31262,3,0.0,5,[],78878,2022-03-01 20:06
BREAKING SILENCE,15633,H Burton,4,0,53313,4,0.02,2.5,[],78878,2022-03-01 20:06
HAVANA PARTY,11087,S G Tighe,1,0,TTTTT,5,0.1225,10,[],78878,2022-03-01 20:06
ASHBANK MEGAN,13803,S Roberts,2,0,655TT,6,99.9,10,[],78878,2022-03-01 20:06
